Date/Time,Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly),Misc_Loads:InteriorEquipment:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),WaterSystems:Electricity [J](Hourly) 
 07/21  15:00:00,58852117.51381626,6738836.284362706,4193287.3398376468,0.0,12812146.437942721,0.0,398232.34064878089,17891869.213263994,16643034.57468367,174711.32307692307,0.0 
 07/21  16:00:00,63225924.54714781,7264541.597439226,4520429.990988115,0.0,16202681.23947205,0.0,504997.9568705578,17159025.91272704,17399536.1462602,174711.70339065643,0.0 
 07/21  17:00:00,72923112.06527815,8764199.64834277,5453608.573093584,0.0,18766832.443149117,0.0,588222.3820652523,21019499.97771382,18156037.71783672,174711.32307692307,0.0 
 07/21  18:00:00,118077255.49618505,11596225.044593677,7215842.402597489,0.0,49876683.82625429,0.0,1722951.7771233035,26604254.439672039,19669040.86098977,174716.56829638774,1217540.576658036 
 07/21  19:00:00,106775691.9728175,14507388.875071165,9027397.811699463,529975.215857267,34529360.25730136,0.0,1438660.1141196322,23403478.54756856,20047291.64677805,174711.32307692307,3117428.181345308 
 07/21  20:00:00,95883614.02467683,15124913.10507851,9411605.768713396,2617690.088399352,27162112.470418119,0.0,1212587.0145375524,17992890.40599607,18912539.28941325,174711.32307692307,3274564.5590437098 
 07/21  21:00:00,99006156.94868887,12856328.916216782,7999984.037656624,3344909.8224558036,23602439.607975246,0.0,1104103.6593475734,15746584.501666928,17777786.932048445,174712.93242645436,16399306.538895134 
 07/21  22:00:00,76953337.50683537,9736013.509569077,6058334.027295979,4033703.7873222867,21200462.73353611,0.0,1031459.0154518536,15005752.231021436,17021285.360471917,174711.32307692307,2691615.519089836 
 07/21  23:00:00,66771033.00796348,8377215.760512831,5212719.119114616,3056193.4796987415,18503573.899627929,0.0,947059.3699562228,12558177.536164478,15130031.431530593,174711.32307692307,2811351.0882811855 
 07/21  24:00:00,50257514.74026899,3762436.7175633169,2341226.285655135,1370171.3147942562,16232786.770089958,0.0,873452.2198183015,8957841.804888167,13617028.28837754,174711.32307692307,2927860.016005422 
 01/01  01:00:00,30480818.19743249,1868155.9338272736,1162512.0138114598,680348.5343547517,838950.98589507,0.0,30970.63175135732,5600936.955919766,20124231.818795895,174711.32307692307,0.0 
 01/01  02:00:00,26918619.711851427,1120924.1156763742,697531.0351369232,408209.12061285096,568417.1383288158,0.0,20987.752489240003,4953563.511665713,18974275.71486468,174711.32307692307,0.0 
 01/01  03:00:00,24709476.113122968,747231.8181508987,464980.9786745365,272139.4137419008,384000.9421544124,0.0,14176.273933120421,4252937.70049217,18399297.662899089,174711.32307692307,0.0 
 01/01  04:00:00,23657909.724510388,747231.8181508987,464980.9786745365,272139.4137419008,277722.3963783395,0.0,10254.748365943287,3886549.4351884026,17824319.610933495,174711.32307692307,0.0 
 01/01  05:00:00,24851916.6583365,830800.7824789592,517042.6460280523,302557.7874492454,203616.59869424325,0.0,7520.631300565369,4416369.073655014,18399297.662899089,174711.47583136915,0.0 
 01/01  06:00:00,28998364.714286698,2279736.90256547,1418531.5175705115,830183.0741729525,171583.95433845768,0.0,6337.913932755689,5143004.313765015,18974275.71486468,174711.32307692307,0.0 
 01/01  07:00:00,40586996.47743001,5352080.362597074,3330397.9653719367,1949040.688666207,219945.8472383255,0.0,8120.7724701191055,8278511.595282409,21274187.922727087,174711.32307692307,0.0 
 01/01  08:00:00,48159512.53488604,6772905.533074146,4214493.236379812,0.0,247958.5656802911,0.0,9153.734599350973,12591211.95952046,24149078.182555066,174711.32307692307,0.0 
 01/01  09:00:00,52002653.474710498,7197625.315216756,4478852.137655444,0.0,55222.87584834614,0.0,2039.0497564062237,15370146.538636,24724056.23452066,174711.32307692307,0.0 
 01/01  10:00:00,55380674.05949548,7398679.715684263,4603943.100404167,0.0,73738.195090253,0.0,2722.132000443972,18402823.358718754,24724056.23452066,174711.32307692307,0.0 
 01/01  11:00:00,56799968.5833424,7197472.538316704,4478733.003405208,0.0,209344.6238908556,0.0,84623.95401478104,19053871.075377168,24724056.23452066,174714.50394151774,877152.649875552 
 01/01  12:00:00,60991986.25928706,6918807.47262314,4305273.535060312,0.0,271825.36140421158,0.0,317611.8017422411,20366648.96612204,25299034.286486258,174712.2199413624,3338072.615907603 
 01/01  13:00:00,201679206.34203515,6717600.295255575,4180063.4380613539,0.0,410300.63235275106,0.0,92028.66897445274,20333894.61953246,25874012.33845185,174717.27743400998,143896589.07197283 
 01/01  14:00:00,79300862.93659173,6658475.6349357259,4143250.954738158,0.0,463915.82284215537,0.0,324698.0313882382,18124908.82501721,25874012.33845185,174711.65907436994,23536889.670144179 
 01/01  15:00:00,174023511.62416328,6738836.284362706,4193287.3398376468,0.0,584258.9088329955,0.0,252253.83199279209,17945520.59845497,25299034.286486258,174713.76525483014,118835606.60894129 
 01/01  16:00:00,222105816.07393817,7264541.597439226,4520429.990988115,0.0,964531.4970767064,0.0,189431.3670378262,16973725.17123301,26448990.39041745,174715.5692467453,165569450.49049939 
 01/01  17:00:00,71792692.6123536,8764199.64834277,5453608.573093584,797915.577749509,1120448.6226066484,0.0,348976.4042090697,21734779.627359108,27598946.494348647,174711.38682730369,5799106.277817016 
 01/01  18:00:00,85972831.75319776,11596225.044593677,7215842.402597489,4222960.270879291,1585956.5675641222,0.0,366132.33084823066,28397825.270113719,29898858.702211027,174711.32307692307,2514319.8413131239 
 01/01  19:00:00,89483779.12928438,14507388.875071165,9027397.811699463,5283129.898378474,2514962.472100961,0.0,400342.17637935039,24470540.669827559,30473836.754176644,174711.32307692307,2631469.1485737639 
 01/01  20:00:00,97514331.08707217,15124913.10507851,9411605.768713396,5508000.0,2537286.691523754,0.0,401146.0592929765,17949221.125594729,28748902.59827986,174711.84755429108,17658543.891034716 
 01/01  21:00:00,81241713.45310524,12856328.916216782,7999984.037656624,4681878.384946268,2333270.6720336407,0.0,393621.1992950544,15218997.746468185,27023968.442383049,174711.5799259261,10558952.474179836 
 01/01  22:00:00,65006474.82640642,9736013.509569077,6058334.027295979,3545547.493469519,2287631.3477507566,0.0,391944.7548797887,14300454.686165682,25874012.33845185,174711.32307692307,2637825.3457467595 
 01/01  23:00:00,56560163.599220778,8377215.760512831,5212719.119114616,3050695.725722036,1879412.5603545632,0.0,376896.5827707836,11722009.98109796,22999122.078623874,174711.32307692307,2767380.467947186 
 01/01  24:00:00,40905377.3788611,3762436.7175633169,2341226.285655135,1370171.3147942557,1216302.5047651837,0.0,352455.1333296674,8098886.3560849749,20699209.870761459,174711.32307692307,2889977.872830255 
 01/02  01:00:00,33559833.731996517,1868155.9338272736,1162512.0138114598,680348.5343547517,890402.8512739942,0.0,340441.3219897395,5344385.270791238,20124231.818795895,174711.40315013016,2974644.5840020019 
 01/02  02:00:00,31133588.980061264,1120924.1156763742,697531.0351369232,408209.12061285096,733990.3899048054,0.0,334671.5296886916,4799632.500588597,18974275.71486468,174712.02740970339,3889642.546178707 
 01/02  03:00:00,37571588.57242366,747231.8181508987,464980.9786745365,272139.4137419008,621717.0651827017,0.0,330528.2374179026,4150317.026440759,18399297.662899089,174711.64182761403,12410664.728088327 
 01/02  04:00:00,26705511.71873781,747231.8181508987,464980.9786745365,272139.4137419008,519860.87756760328,0.0,326764.97423945626,3835239.098162697,17824319.610933495,174711.32307692307,2540263.624190344 
 01/02  05:00:00,56529162.408528167,830800.7824789592,517042.6460280523,302557.7874492454,801789.987196466,0.0,337170.37620324027,20601995.198038989,18399297.662899089,174711.77188532306,14563796.196348833 
 01/02  06:00:00,225162484.00078685,2279736.90256547,1418531.5175705115,830183.0741729525,1918360.7319953205,4078495.4362223979,235016.67544488846,56425200.94077505,18974275.71486468,174715.22021806157,138827967.7869576 
 01/02  07:00:00,46950249.427223879,5352080.362597074,3330397.9653719367,1949040.688666207,1115534.3675253746,3127421.9625119369,384512.78310195999,7868028.899076765,21274187.922727087,174711.32307692307,2374333.152568669 
 01/02  08:00:00,53533131.973560009,6772905.533074146,4214493.236379812,0.0,885273.7869971725,2705875.5864903887,371946.50824718826,11770246.567109172,24149078.182555066,174711.32307692307,2488601.2496302605 
 01/02  09:00:00,55365284.11294317,7197625.315216756,4478852.137655444,0.0,390940.63871308686,1317895.6765085813,337009.66258937426,14138698.450019073,24724056.23452066,174711.32307692307,2605494.6746433826 
 01/02  10:00:00,62257323.63377894,7398679.715684263,4603943.100404167,0.0,110415.28867289383,983065.1022394518,322778.76404448397,16658271.899844783,24724056.23452066,174711.5078594432,7281402.020508779 
 01/02  11:00:00,57583792.57507253,7197472.538316704,4478733.003405208,0.0,91295.66345527124,812296.3834497158,320185.11002735226,17052767.931374626,24724056.23452066,174711.32307692307,2732274.3874461564 
 01/02  12:00:00,58942223.73910405,6918807.47262314,4305273.535060312,0.0,80049.44812730974,697554.338520699,318455.8123705234,18288580.316580945,25299034.286486258,174711.32307692307,2859757.206258139 
 01/02  13:00:00,59806401.181889,6717600.295255575,4180063.4380613539,0.0,73153.16919783678,1064460.520740258,322559.59625263736,18435412.149581344,25874012.33845185,174711.32307692307,2964428.351271392 
 01/02  14:00:00,57250386.71970965,6658475.6349357259,4143250.954738158,0.0,63822.88522076065,560023.089561248,316275.86688301755,16406012.534656089,25874012.33845185,174711.32307692307,3053802.0921858607 
 01/02  15:00:00,56915981.74774031,6738836.284362706,4193287.3398376468,0.0,72411.56884858874,501834.19620649717,315705.9331332094,16483175.99322239,25299034.286486258,174711.32307692307,3136984.822566318 
 01/02  16:00:00,57762920.181657049,7264541.597439226,4520429.990988115,0.0,86485.48015037451,324092.2514074219,313929.7963940214,15408759.89194903,26448990.39041745,174711.32307692307,3220979.4598347435 
 01/02  17:00:00,67174603.02397052,8764199.64834277,5453608.573093584,797915.577749509,111564.23565556211,328707.75718560777,314711.6351785596,20323745.359152244,27598946.494348647,174711.32307692307,3306492.4201870725 
 01/02  18:00:00,86198873.27362068,11596225.044593677,7215842.402597489,4222960.270879291,1198714.704852039,1120847.2372734103,364500.2376873289,27012446.170419747,29898858.702211027,174711.32307692307,3393767.180029939 
 01/02  19:00:00,89298034.53279859,14507388.875071165,9027397.811699463,5283129.898378474,1606787.5423973129,1199271.4178267928,380401.7479844802,23162127.07567205,30473836.754176644,174711.32307692307,3482982.086515307 
 01/02  20:00:00,81171040.01779826,15124913.10507851,9411605.768713396,5508000.0,1620792.483043665,0.0,366859.55977037028,16640807.531439208,28748902.59827986,174711.32307692307,3574447.6483962668 
 01/02  21:00:00,72181075.11340356,12856328.916216782,7999984.037656624,4681878.384946268,1527404.801384253,0.0,363444.3941773564,13884928.983799853,27023968.442383049,174711.32307692307,3668425.829762641 
 01/02  22:00:00,63869915.79748352,9736013.509569077,6058334.027295979,3545547.493469519,1527780.514356295,0.0,363450.1443020785,12915075.58647163,25874012.33845185,174711.53218932937,3674990.6513775999 
 01/02  23:00:00,55206755.17689325,8377215.760512831,5212719.119114616,3050695.725722036,1206929.6643479339,0.0,352156.554948506,10593182.56653244,22999122.078623874,174711.32307692307,3240022.3840141438 
 01/02  24:00:00,40216736.10796113,3762436.7175633169,2341226.285655135,1370171.3147942557,920380.0466794327,0.0,319708.0303484246,7483162.311776513,20699209.870761459,174711.32307692307,3145730.2073057566 
 01/03  01:00:00,33194099.384111003,1868155.9338272736,1162512.0138114598,680348.5343547517,716684.4885565867,0.0,334044.1056726655,5344385.270791238,20124231.818795895,174711.7117369161,2789025.5065641908 
 01/03  02:00:00,29856140.967504894,1120924.1156763742,697531.0351369232,408209.12061285096,530765.6839742449,0.0,327180.6568077405,4799632.500588597,18974275.71486468,174711.32307692307,2822910.816766638 
 01/03  03:00:00,27850052.687917327,747231.8181508987,464980.9786745365,272139.4137419008,323356.8948975291,0.0,319526.94771130129,4150317.026440759,18399297.662899089,174711.32307692307,2998490.6223244585 
 01/03  04:00:00,26609012.459621528,747231.8181508987,464980.9786745365,272139.4137419008,219323.93859377266,0.0,315688.1726008207,3835239.098162697,17824319.610933495,174711.5947071218,2755377.834056325 
 01/03  05:00:00,29858082.3679269,830800.7824789592,517042.6460280523,302557.7874492454,192634.85863594444,0.0,314702.32943152546,4313748.399603603,18399297.662899089,174711.9926052014,4812585.9087953 
 01/03  06:00:00,35867791.81169872,2279736.90256547,1418531.5175705115,830183.0741729525,168298.82399479458,4133997.9453706576,366928.7675780703,4989073.302687899,18974275.71486468,174711.32307692307,2532054.439816808 
 01/03  07:00:00,46738544.41406471,5352080.362597074,3330397.9653719367,1949040.688666207,369655.7796701299,3384923.274488486,364172.3326583344,7868028.899076765,21274187.922727087,174711.32307692307,2671345.865731833 
 01/03  08:00:00,53731785.98107234,6772905.533074146,4214493.236379812,0.0,592098.557382134,2899941.0900652476,365838.7480457676,11770246.567109172,24149078.182555066,174711.32307692307,2792472.743384195 
 01/03  09:00:00,55970276.08539251,7197625.315216756,4478852.137655444,0.0,545447.9956887337,1460345.6536503644,345253.3420033345,14138698.450019073,24724056.23452066,174711.34401941295,2905285.6126188549 
 01/03  10:00:00,58128530.98417496,7398679.715684263,4603943.100404167,0.0,74625.87371797016,1181197.681399045,324109.2986281268,16658271.899844783,24724056.23452066,174711.32307692307,2988935.856899011 
 01/03  11:00:00,57939513.99925801,7197472.538316704,4478733.003405208,0.0,95526.35806847469,813629.1168354109,320194.19844162816,17052767.931374626,24724056.23452066,174711.32307692307,3082423.2952184507 
 01/03  12:00:00,59226576.19950728,6918807.47262314,4305273.535060312,0.0,128986.86260106965,626311.9935235845,319016.2729007634,18288580.316580945,25299034.286486258,174711.32307692307,3165854.136654492 
 01/03  13:00:00,59954565.51843586,6717600.295255575,4180063.4380613539,0.0,155685.02093978338,844419.233929003,322288.2987670379,18435412.149581344,25874012.33845185,174711.32307692307,3250373.420373167 
 01/03  14:00:00,57173738.37186785,6658475.6349357259,4143250.954738158,0.0,164465.13620705816,199804.78204619236,315279.94438737069,16406012.534656089,25874012.33845185,174711.84539547654,3237725.201049911 
 01/03  15:00:00,56137007.5641,6738836.284362706,4193287.3398376468,0.0,182513.64063531153,3968.711724728516,313498.0981552797,16483175.99322239,25299034.286486258,174711.4705949635,2747981.739080935 
 01/03  16:00:00,57191019.33824589,7264541.597439226,4520429.990988115,0.0,204378.821070083,0.0,313961.77983174929,15408759.89194903,26448990.39041745,174711.32307692307,2855245.5434735838 
 01/03  17:00:00,66668726.68141997,8764199.64834277,5453608.573093584,797915.577749509,224126.73336012889,0.0,314483.93324059058,20323745.359152244,27598946.494348647,174711.32307692307,3016989.039055533 
 01/03  18:00:00,89192868.50087595,11596225.044593677,7215842.402597489,4222960.270879291,5036928.961034187,375123.3333724761,497258.05065335906,27012446.170419747,29898858.702211027,174711.32307692304,3162514.2420379987 
 01/03  19:00:00,100740444.71829418,14507388.875071165,9027397.811699463,5283129.898378474,5233151.743552629,559121.2192224134,506270.98314171037,32182968.647310705,30473836.754176644,174712.1600705483,2792466.62567045 
 01/03  20:00:00,83154732.39287092,15124913.10507851,9411605.768713396,5508000.0,4347688.913242536,0.0,467233.7497008432,16640807.531439208,28748902.59827986,174711.32307692307,2730869.4033395939 
 01/03  21:00:00,73586323.32397348,12856328.916216782,7999984.037656624,4681878.384946268,3667422.798244003,0.0,442217.1160751999,13884928.983799853,27023968.442383049,174711.68740642986,2854882.9572454195 
 01/03  22:00:00,64793111.86727751,9736013.509569077,6058334.027295979,3545547.493469519,3274641.8376092526,0.0,427756.4544342777,12915075.58647163,25874012.33845185,174711.32307692307,2787019.296898858 
 01/03  23:00:00,56048313.07650423,8377215.760512831,5212719.119114616,3050695.725722036,2318228.2244433185,0.0,393171.0738082996,10593182.56653244,22999122.078623874,174711.32307692307,2929267.204669947 
 01/03  24:00:00,40640233.60308539,3762436.7175633169,2341226.285655135,1370171.3147942557,1411006.233163796,0.0,359678.96816515715,7483162.311776513,20699209.870761459,174711.32307692307,3038630.5781289178 
 01/04  01:00:00,33752210.80015751,1868155.9338272736,1162512.0138114598,680348.5343547517,927428.7441747512,0.0,341811.9869587898,5344385.270791238,20124231.818795895,174711.32307692307,3128625.174366397 
 01/04  02:00:00,30176445.98714829,1120924.1156763742,697531.0351369232,408209.12061285096,597689.5145850653,0.0,329638.3927498851,4799632.500588597,18974275.71486468,174711.46505142464,3073834.1278825628 
 01/04  03:00:00,28122886.247345754,747231.8181508987,464980.9786745365,272139.4137419008,423331.5619022529,0.0,323207.2460502108,4150317.026440759,18399297.662899089,174711.32307692307,3167669.2164092569 
 01/04  04:00:00,27218026.70347995,747231.8181508987,464980.9786745365,272139.4137419008,306408.26220013477,0.0,318895.8137784819,3835239.098162697,17824319.610933495,174711.32307692307,3274100.3847609239 
 01/04  05:00:00,28460736.01212959,830800.7824789592,517042.6460280523,302557.7874492454,233805.81915897828,0.0,316217.84404452706,4313748.399603603,18399297.662899089,174711.32307692307,3372553.747390235 
 01/04  06:00:00,37333817.77117778,2279736.90256547,1418531.5175705115,830183.0741729525,182959.26018002846,4636189.413833794,375193.60129054627,4989073.302687899,18974275.71486468,174711.32307692307,3472963.660935033 
 01/04  07:00:00,48265960.21670843,5352080.362597074,3330397.9653719367,1949040.688666207,335647.83906230548,4040018.670410266,373363.32240340739,7868028.899076765,21274187.922727087,174711.32307692307,3568483.2233165295 
 01/04  08:00:00,55326383.777768868,6772905.533074146,4214493.236379812,0.0,512239.9789789486,3694918.6565272829,375322.9627180892,11770246.567109172,24149078.182555066,174711.32307692307,3662467.3373495608 
 01/04  09:00:00,57335938.26625256,7197625.315216756,4478852.137655444,0.0,549108.2981813373,1960735.904451316,352838.84490158085,14138698.450019073,24724056.23452066,174711.32307692307,3759311.758229581 
 01/04  10:00:00,216647585.8504247,7398679.715684263,4603943.100404167,0.0,88287.34309618458,1473625.42772671,252171.85986456544,16658271.899844783,24724056.23452066,174723.14224917594,161273827.1270342 
 01/04  11:00:00,82768365.58870004,7197472.538316704,4478733.003405208,0.0,119888.99093204912,1138901.084711996,248107.72687966878,17052767.931374626,24724056.23452066,174711.3997611031,27633726.678798114 
 01/04  12:00:00,69538921.61275022,6918807.47262314,4305273.535060312,0.0,151502.60719037159,759152.1648768969,321231.1368584076,18288580.316580945,25299034.286486258,174711.52048509127,13320628.572588996 
 01/04  13:00:00,59356144.13748225,6717600.295255575,4180063.4380613539,0.0,179622.26115320839,893938.052965219,323510.17475964539,18435412.149581344,25874012.33845185,174711.32307692307,2577274.1041773075 
 01/04  14:00:00,56688921.857879508,6658475.6349357259,4143250.954738158,0.0,193486.19002918335,226788.78196402035,316488.5176314461,16406012.534656089,25874012.33845185,174711.32307692307,2695695.582396093 
 01/04  15:00:00,59160020.04159776,6738836.284362706,4193287.3398376468,0.0,209043.22067413823,4027.061943817108,314469.5179035435,16483175.99322239,25299034.286486258,174711.62427124009,5743434.712896241 
 01/04  16:00:00,57231136.45291284,7264541.597439226,4520429.990988115,0.0,288783.59170881929,0.0,316550.97081884069,15408759.89194903,26448990.39041745,174711.32307692307,2808368.6965146975 
 01/04  17:00:00,66669532.985925007,8764199.64834277,5453608.573093584,797915.577749509,309419.07670303739,0.0,317087.20669156927,20323745.359152244,27598946.494348647,174711.32307692307,2929899.72676668 
 01/04  18:00:00,90448924.27424458,11596225.044593677,7215842.402597489,4222960.270879291,6499014.798827827,255495.119024423,549585.6067435677,27012446.170419747,29898858.702211027,174711.32307692307,3023784.8358708287 
 01/04  19:00:00,96914249.4763953,14507388.875071165,9027397.811699463,5283129.898378474,5955555.908694085,411620.72002152327,531050.5532305214,27546950.61285455,30473836.754176644,174711.60108890933,3002606.7411799838 
