Date/Time,Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly),Misc_Loads:InteriorEquipment:Electricity [J](Hourly) ,DHW:NaturalGas [J](Hourly) 
 07/03  09:00:00,48655146.42,7398679.716,4603943.1,0,231939.5324,178704.3228,317160.7809,16761917.53,16264783.79,20335388.63
 07/03  10:00:00,49298811.09,7197472.538,4478733.003,0,648406.0964,103851.0945,331776.3204,17252469.23,16264783.79,21233980.48
 07/03  11:00:00,50420699.12,6918807.473,4305273.535,0,743880.7598,52391.10876,334753.5545,18324971.38,16643034.57,22433908.05
 07/03  12:00:00,50576610.4,6717600.295,4180063.438,0,837089.9796,127460.1081,338985.3979,18381760.76,17021285.36,22226793.97
 07/03  13:00:00,49101477.38,6658475.635,4143250.955,0,1262074.261,0,353200.8246,16576912.72,17021285.36,20124619.94
 07/03  14:00:00,50312773.25,6738836.284,4193287.34,0,2718009.927,0,405704.4201,16429524.61,16643034.57,19552480.44
 07/03  15:00:00,53597873.54,7264541.597,4520429.991,0,5062178.879,0,490568.9438,15594060.63,17399536.15,18870205.76
 07/03  16:00:00,63317749.44,8764199.648,5453608.573,0,7568746.395,0,581897.6061,19608465.71,18156037.72,22679893.78
 07/03  17:00:00,100949450.5,11596225.04,7215842.403,0,30332271.92,0,1425498.147,27515581.74,19669040.86,31504548.59
 07/03  18:00:00,95065526.56,14507388.88,9027397.812,0,22321812.69,0,1129589.197,24764084.14,20047291.65,28803837.25
 07/03  19:00:00,81816625.92,15124913.11,9411605.769,0,17406131.51,0,949898.9026,16684476.81,18912539.29,19652849.35
 07/03  20:00:00,75319656.39,12856328.92,7999984.038,3344909.822,14729279.7,0,851268.0868,14412515.74,17777786.93,17406652.16
 07/03  21:00:00,67553643.23,9736013.51,6058334.027,4033703.787,13132839.61,0,792196.9614,13620373.13,17021285.36,16682748.58
 07/03  22:00:00,100178938.1,8377215.761,5212719.119,3056193.48,13020050.09,0,763448.5909,46527740.57,15130031.43,69745286.99
 07/03  23:00:00,42244850.78,3762436.718,2341226.286,1370171.315,9945561.011,0,598504.027,8342117.761,13617028.29,10046682.72
 07/03  24:00:00,35253740.62,1868155.934,1162512.014,680348.5344,8369148.685,0,617103.0621,6258568.835,13238777.5,7351770.58
 07/04  01:00:00,31406003.02,1120924.116,697531.0351,408209.1206,7131827.857,0,571344.6393,5841320.076,12482275.93,6804844.764
 07/04  02:00:00,28702727.79,747231.8182,464980.9787,272139.4137,6166674.97,0,535678.6943,5175508.601,12104025.15,6018393.498
 07/04  03:00:00,27333830.93,747231.8182,464980.9787,272139.4137,5510370.151,0,511414.4431,4782693.335,11725774.36,5504938.44
 07/04  04:00:00,27908668.17,830800.7825,517042.646,279326.8925,5054750.257,0,494556.7576,5224844.636,12104025.15,6034307.016
 07/04  05:00:00,31335453.88,2279736.903,1418531.518,535757.6816,4776140.281,0,484249.2858,5869824.76,12482275.93,6783215.673
 07/04  06:00:00,40427440.99,5352080.363,3330397.965,0,4911740.564,0,489259.1769,8772393.137,13995279.07,10238849.23
 07/04  07:00:00,48663734.68,6772905.533,4214493.236,0,4846430.424,0,486838.9856,12790913.26,15886533,15122220.14
 07/04  08:00:00,51110408.43,7197625.315,4478852.138,0,3722872.459,0,445271.7251,15514619.72,16264783.79,18694066.13
 07/04  09:00:00,67548558.33,7398679.716,4603943.1,0,4147090.798,0,460938.666,31449526.82,16264783.79,43269738.62
 07/04  10:00:00,89676881.58,7197472.538,4478733.003,0,5676582.444,0,440589.1334,46593426.57,16264783.79,67371832.96
 07/04  11:00:00,66495693.86,6918807.473,4305273.535,0,4984645.498,0,491883.3801,20403040.03,16643034.57,25280595.98
 07/04  12:00:00,57042503.7,6717600.295,4180063.438,0,5412484.223,0,507678.4651,20280243.23,17021285.36,24827471.83
 07/04  13:00:00,55507005.63,6658475.635,4143250.955,0,5823006.302,0,522883.8815,18295809.01,17021285.36,22479287.74
 07/04  14:00:00,56486693.37,6738836.284,4193287.34,0,7311783.12,0,578036.3527,17891869.21,16643034.57,21555705.28
 07/04  15:00:00,59936616.52,7264541.597,4520429.991,0,9716307.982,0,666132.5344,17159025.91,17399536.15,21014007.79
 07/04  16:00:00,69561165.06,8764199.648,5453608.573,0,12117693.99,0,756162.6096,21019499.98,18156037.72,24612830.03
 07/04  17:00:00,83631438.71,11596225.04,7215842.403,0,14442881.39,0,842070.485,26604254.44,19669040.86,30212465.26
 07/04  18:00:00,85758671.02,14507388.88,9027397.812,0,14690651.72,0,850960.1549,23403478.55,20047291.65,26889219.08
 07/04  19:00:00,77822762.2,15124913.11,9411605.769,0,12367408.46,0,764930.1102,17992890.41,18912539.29,21445208.42
