Date/Time,Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly),Misc_Loads:InteriorEquipment:Electricity [J](Hourly) ,DHW:NaturalGas [J](Hourly) 
 01/21  01:00:00,38170731.13,1868155.934,1162512.014,680348.5344,0,8428058.674,131775.8746,5600936.956,20124231.82,6631065.883
 01/21  02:00:00,35677499.79,1120924.116,697531.0351,408209.1206,0,9203606.094,144678.8785,4953563.512,18974275.71,5763073.215
 01/21  03:00:00,34260447.17,747231.8182,464980.9787,272139.4137,0,9794681.802,154466.4717,4252937.7,18399297.66,4945756.714
 01/21  04:00:00,33866157.67,747231.8182,464980.9787,272139.4137,0,10332785.87,163439.2217,3886549.435,17824319.61,4462677.759
 01/21  05:00:00,35362915.42,830800.7825,517042.646,302557.7874,0,10554940.83,167195.1974,4416369.074,18399297.66,5083663.774
 01/21  06:00:00,39384799.92,2279736.903,1418531.518,830183.0742,0,10399753.46,164603.6227,5143004.314,18974275.71,5914227.548
 01/21  07:00:00,52770603.03,5352080.363,3330397.965,1949040.689,0,9374526.834,378143.2045,8278511.595,21274187.92,9594901.809
 01/21  08:00:00,60986825.67,6772905.533,4214493.236,0,0,9017964.942,449449.6169,12591211.96,24149078.18,14764554.75
 01/21  09:00:00,66773077.05,7197625.315,4478852.138,0,0,10634180,482661.7119,15370146.54,24724056.23,18387679.76
 01/21  10:00:00,69981609.12,7398679.716,4603943.1,0,0,11917516.28,389795.8456,18402823.36,24724056.23,22459641.91
 01/21  11:00:00,67939600.39,7197472.538,4478733.003,0,0,12109973.02,200783.1919,19053871.08,24724056.23,23617570.14
 01/21  12:00:00,71639927.62,6918807.473,4305273.535,0,0,11687351.26,193662.4909,23061087,25299034.29,28828522.07
 01/21  13:00:00,69835164.59,6717600.295,4180063.438,0,0,12351682.4,203200.1727,20333894.62,25874012.34,24715260.93
 01/21  14:00:00,72930033.23,6658475.635,4143250.955,0,0,11467216.02,420685.795,22002088.86,25874012.34,27527506.44
 01/21  15:00:00,73150144.47,6738836.284,4193287.34,0,0,11526854.85,498834.3945,21785321.86,25299034.29,26776560.5
 01/21  16:00:00,70711774.15,7264541.597,4520429.991,0,0,11870236.87,504987.8627,16973725.17,26448990.39,20666793.85
 01/21  17:00:00,77633850.24,8764199.648,5453608.573,0,0,10405033.04,480209.6521,21734779.63,27598946.49,25154349.18
 01/21  18:00:00,92461058.82,11596225.04,7215842.403,4222960.271,0,7707817.363,429847.5984,28397825.27,29898858.7,31816479.18
 01/21  19:00:00,105142079.3,14507388.88,9027397.812,5283129.898,0,4829436.788,303468.6963,24470540.67,30473836.75,27758826.09
 01/21  20:00:00,84844116.07,15124913.11,9411605.769,5508000,0,4936344.055,381994.2265,17949221.13,28748902.6,21211982.24
 01/21  21:00:00,181335932.5,12856328.92,7999984.038,4681878.385,0,3029665.531,310391.5688,58258274.3,27023968.44,86837278.44
 01/21  22:00:00,78370922.01,9736013.51,6058334.027,3545547.493,0,4425199.987,218530.8162,14300454.69,25874012.34,17693584.29
 01/21  23:00:00,72471857.78,8377215.761,5212719.119,3050695.726,0,5659802.525,392934.0764,11722009.98,22999122.08,14569972.6
 01/21  24:00:00,46791980.19,3762436.718,2341226.286,1370171.315,0,7385040.782,421856.666,8098886.356,20699209.87,9869277.173
 07/21  01:00:00,38580783.7,1868155.934,1162512.014,680348.5344,14433877.55,0,507280.324,6515120.52,13238777.5,7703213.535
 07/21  02:00:00,34149262.48,1120924.116,697531.0351,408209.1206,12965918.98,0,458371.9072,5841320.076,12482275.93,6804844.764
 07/21  03:00:00,31122098.45,747231.8182,464980.9787,272139.4137,11765822.16,0,417679.0076,5175508.601,12104025.15,6018393.498
 07/21  04:00:00,29317846.37,747231.8182,464980.9787,272139.4137,10766703.33,0,383611.81,4782693.335,11725774.36,5504938.44
 07/21  05:00:00,29498675.66,830800.7825,517042.646,279326.8925,10010772.06,0,357152.171,5224844.636,12104025.15,6034307.016
 07/21  06:00:00,33554229.6,2279736.903,1418531.518,0,10938886.74,0,390262.4199,5869824.76,12482275.93,6783215.673
 07/21  07:00:00,46200044,5352080.363,3330397.965,0,14078078.76,0,497103.3772,8772393.137,13995279.07,10238849.23
 07/21  08:00:00,56226673.08,6772905.533,4214493.236,0,15835970.8,0,551145.9123,12790913.26,15886533,15122220.14
 07/21  09:00:00,59990970.82,7197625.315,4478852.138,0,15821639.47,0,538738.9323,15514619.72,16264783.79,18694066.13
 07/21  10:00:00,47624059.45,7398679.716,4603943.1,0,655033.7647,0,20438.77533,18506468.98,16264783.79,22725200.72
 07/21  11:00:00,67360835.63,7197472.538,4478733.003,0,2740667.894,0,87279.31569,36417187.41,16264783.79,51219071.1
 07/21  12:00:00,75864889.68,6918807.473,4305273.535,0,5698758.954,0,180778.8232,41943524.05,16643034.57,59471843.2
 07/21  13:00:00,54837812.28,6717600.295,4180063.438,0,6266105.279,0,197803.351,20280243.23,17021285.36,24827471.83
 07/21  14:00:00,55591053.53,6658475.635,4143250.955,0,9016396.746,0,281124.5013,18295809.01,17021285.36,22479287.74
 07/21  15:00:00,59066121.68,6738836.284,4193287.34,0,13019544.11,0,404838.746,17891869.21,16643034.57,21555705.28
 07/21  16:00:00,63383185.92,7264541.597,4520429.991,0,16355040.12,0,509900.1877,17159025.91,17399536.15,21014007.79
 07/21  17:00:00,73039973.1,8764199.648,5453608.573,0,18879991.81,0,591924.0153,21019499.98,18156037.72,24612830.03
 07/21  18:00:00,116868979.3,11596225.04,7215842.403,0,49997044.83,0,1611860.356,26604254.44,19669040.86,30212465.26
 07/21  19:00:00,103431030,14507388.88,9027397.812,529975.2159,34606883.99,0,1133902.338,23403478.55,20047291.65,26889219.08
 07/21  20:00:00,92359858.34,15124913.11,9411605.769,2617690.088,27218389.39,0,907118.9615,17992890.41,18912539.29,21445208.42
 07/21  21:00:00,82344371.25,12856328.92,7999984.038,3344909.822,23645866.91,0,798198.8012,15746584.5,17777786.93,19234155.53
 07/21  22:00:00,73990317.66,9736013.51,6058334.027,4033703.787,21235258.25,0,725258.5455,15005752.23,17021285.36,18580540.53
 07/21  23:00:00,63680612.99,8377215.761,5212719.119,3056193.48,18530964.9,0,640599.2761,12558177.54,15130031.43,15579900.65
 07/21  24:00:00,47044928.63,3762436.718,2341226.286,1370171.315,16254722.29,0,566790.5742,8957841.805,13617028.29,10890145.81
 01/01  01:00:00,30557302.23,1868155.934,1162512.014,680348.5344,912704.6286,0,33701.02515,5600936.956,20124231.82,6631065.883
 01/01  02:00:00,26983643.1,1120924.116,697531.0351,408209.1206,631120.0039,0,23308.27805,4953563.512,18974275.71,5763073.215
 01/01  03:00:00,24754271.28,747231.8182,464980.9787,272139.4137,427198.097,0,15774.1853,4252937.7,18399297.66,4945756.714
 01/01  04:00:00,23688126.61,747231.8182,464980.9787,272139.4137,306862.6894,0,11331.34142,3886549.435,17824319.61,4462677.759
 01/01  05:00:00,24874753.25,830800.7825,517042.646,302557.7874,225639.4077,0,8334.562361,4416369.074,18399297.66,5083663.774
 01/01  06:00:00,29017696.4,2279736.903,1418531.518,830183.0742,190226.587,0,7026.967835,5143004.314,18974275.71,5914227.548
 01/01  07:00:00,40603786.65,5352080.363,3330397.965,1949040.689,236136.9781,0,8719.813079,8278511.595,21274187.92,9594901.809
 01/01  08:00:00,49125692.95,6772905.533,4214493.236,0,263897.2245,0,86639.33208,12591211.96,24149078.18,14764554.75
 01/01  09:00:00,81882489.96,7197625.315,4478852.138,0,58843.27005,0,309757.3053,15370146.54,24724056.23,18387679.76
 01/01  10:00:00,104310416.4,7398679.716,4603943.1,0,78678.63014,0,310489.4222,18402823.36,24724056.23,22459641.91
 01/01  11:00:00,149574018.1,7197472.538,4478733.003,0,222366.0977,0,162001.2829,19053871.08,24724056.23,23617570.14
 01/01  12:00:00,62346531.16,6918807.473,4305273.535,0,285214.5412,0,318106.8464,20366648.97,25299034.29,25086240.83
 01/01  13:00:00,74323888.04,6717600.295,4180063.438,0,422879.7589,0,323183.7514,20333894.62,25874012.34,24715260.93
 01/01  14:00:00,63885897.34,6658475.635,4143250.955,0,474835.4641,0,325104.664,18124908.83,25874012.34,22142525.26
 01/01  15:00:00,57962000.23,6738836.284,4193287.34,0,610065.7754,0,330108.4322,17945520.6,25299034.29,21443494.37
 01/01  16:00:00,59511816.61,7264541.597,4520429.991,0,989743.7687,0,344159.9473,16973725.17,26448990.39,20666793.85
 01/01  17:00:00,68891443.1,8764199.648,5453608.573,797915.5777,1145702.055,0,349916.4984,21734779.63,27598946.49,25154349.18
 01/01  18:00:00,87036729.71,11596225.04,7215842.403,4222960.271,1613138.652,0,367148.291,28397825.27,29898858.7,31816479.18
 01/01  19:00:00,89885989.72,14507388.88,9027397.812,5283129.898,2554630.205,0,324936.7647,24470540.67,30473836.75,27758826.09
 01/01  20:00:00,219741229.6,15124913.11,9411605.769,5508000,4693418.493,0,326865.077,63098804.08,28748902.6,92877992.68
 01/01  21:00:00,73598459.66,12856328.92,7999984.038,4681878.385,2747928.015,0,408948.6843,15218997.75,27023968.44,18520960.97
 01/01  22:00:00,65251439.85,9736013.51,6058334.027,3545547.493,2557850.482,0,401941.3782,14300454.69,25874012.34,17693584.29
 01/01  23:00:00,60315707.37,8377215.761,5212719.119,3050695.726,2078882.744,0,384276.3363,11722009.98,22999122.08,14569972.6
 01/01  24:00:00,40946280.3,3762436.718,2341226.286,1370171.315,1352403.413,0,357486.2184,8098886.356,20699209.87,9869277.173
 01/02  01:00:00,33573718.81,1868155.934,1162512.014,680348.5344,965687.0054,0,343227.3629,5344385.271,20124231.82,6279622.928
 01/02  02:00:00,30311939.61,1120924.116,697531.0351,408209.1206,795836.4661,0,336960.8507,4799632.501,18974275.71,5552207.442
 01/02  03:00:00,28303240.8,747231.8182,464980.9787,272139.4137,676159.1396,0,332543.6242,4150317.026,18399297.66,4805179.532
 01/02  04:00:00,27382635.96,747231.8182,464980.9787,272139.4137,566377.2695,0,328486.6469,3835239.098,17824319.61,4392389.168
 01/02  05:00:00,28624983.18,830800.7825,517042.646,302557.7874,506769.2019,0,326286.3637,4313748.4,18399297.66,4943086.592
 01/02  06:00:00,36867400.02,2279736.903,1418531.518,830183.0742,408330.9262,4078817.422,371553.8513,4989073.303,18974275.71,5703361.775
 01/02  07:00:00,47595538.98,5352080.363,3330397.965,1949040.689,825069.2558,3132099.759,374146.8408,7868028.899,21274187.92,9032593.081
 01/02  08:00:00,54140668.91,6772905.533,4214493.236,0,738300.3807,2705646.161,366602.051,11770246.57,24149078.18,13639937.3
 01/02  09:00:00,55612444.02,7197625.315,4478852.138,0,326525.8616,1319928.397,334704.7994,14138698.45,24724056.23,16700753.57
 01/02  10:00:00,57998038.32,7398679.716,4603943.1,0,103586.3929,985992.5455,322588.6171,16658271.9,24724056.23,20069829.82
 01/02  11:00:00,57660088.22,7197472.538,4478733.003,0,85897.72742,815426.5192,320044.3224,17052767.93,24724056.23,20876315.09
 01/02  12:00:00,58621965.16,6918807.473,4305273.535,0,76332.29775,700838.3623,318372.1437,18288580.32,25299034.29,22239552.89
 01/02  13:00:00,59548412.33,6717600.295,4180063.438,0,69539.96267,1068370.94,322488.2901,18435412.15,25874012.34,22114583.06
 01/02  14:00:00,57056521.27,6658475.635,4143250.955,0,60162.4014,563479.0783,316196.8743,16406012.53,25874012.34,19787857.47
 01/02  15:00:00,56768708.02,6738836.284,4193287.34,0,69109.43903,505281.3881,315639.3602,16483175.99,25299034.29,19440269.53
 01/02  16:00:00,57659083.24,7264541.597,4520429.991,0,83706.32475,327306.2141,313877.3716,15408759.89,26448990.39,18522991.83
 01/02  17:00:00,67102224.45,8764199.648,5453608.573,797915.5777,109247.6206,331897.3593,314673.983,20323745.36,27598946.49,23221412.93
 01/02  18:00:00,85656794.17,11596225.04,7215842.403,4222960.271,1115766.266,1123646.387,361490.2432,27012446.17,29898858.7,29918687.23
 01/02  19:00:00,88478481.08,14507388.88,9027397.812,5283129.898,1514543.363,1202932.319,377055.3162,23162127.08,30473836.75,25966467.03
 01/02  20:00:00,80435329.3,15124913.11,9411605.769,5508000,1539109.358,0,363857.2099,16640807.53,28748902.6,19419623.17
 01/02  21:00:00,77294453.99,12856328.92,7999984.038,4681878.385,1681012.912,0,369078.5924,19898823.36,27023968.44,25046102.52
 01/02  22:00:00,63920109.21,9736013.51,6058334.027,3545547.493,1509109.452,0,362763.1223,12915075.59,25874012.34,15795792.33
 01/02  23:00:00,54537661.19,8377215.761,5212719.119,3050695.726,1180659.289,0,351195.9726,10593182.57,22999122.08,13023623.6
 01/02  24:00:00,39816915.49,3762436.718,2341226.286,1370171.315,896082.5039,0,340679.9942,7483162.312,20699209.87,9025814.081
 01/03  01:00:00,33230650.89,1868155.934,1162512.014,680348.5344,697797.518,0,333353.3904,5344385.271,20124231.82,6279622.928
 01/03  02:00:00,29919567.29,1120924.116,697531.0351,408209.1206,516346.1956,0,326653.5488,4799632.501,18974275.71,5552207.442
 01/03  03:00:00,27847719.89,747231.8182,464980.9787,272139.4137,314204.4756,0,319192.1688,4150317.026,18399297.66,4805179.532
 01/03  04:00:00,26944741.47,747231.8182,464980.9787,272139.4137,211575.4102,0,315403.784,3835239.098,17824319.61,4392389.168
 01/03  05:00:00,28231311.08,830800.7825,517042.646,302557.7874,185830.0602,0,314452.5176,4313748.4,18399297.66,4943086.592
 01/03  06:00:00,36611681.51,2279736.903,1418531.518,830183.0742,162109.6095,4135834.506,366727.5654,4989073.303,18974275.71,5703361.775
 01/03  07:00:00,220695739.6,5352080.363,3330397.965,1949040.689,364087.6339,3386582.866,148682.4552,7868028.899,21274187.92,9032593.081
 01/03  08:00:00,64543083.43,6772905.533,4214493.236,0,582689.8754,2901564.178,288621.8274,11770246.57,24149078.18,13639937.3
 01/03  09:00:00,55498699.17,7197625.315,4478852.138,0,537738.9983,1461045.65,344981.0514,14138698.45,24724056.23,16700753.57
 01/03  10:00:00,65788950.94,7398679.716,4603943.1,0,74555.63946,1182494.06,324122.7695,16658271.9,24724056.23,20069829.82
 01/03  11:00:00,57466191.9,7197472.538,4478733.003,0,95449.82767,814738.5056,320204.6349,17052767.93,24724056.23,20876315.09
 01/03  12:00:00,58794791.06,6918807.473,4305273.535,0,128884.0164,627182.2568,319022.8984,18288580.32,25299034.29,22239552.89
 01/03  13:00:00,65155502.31,6717600.295,4180063.438,0,163087.3156,845118.7705,322540.2876,21358627.84,25874012.34,26174611.58
 01/03  14:00:00,61274488.65,6658475.635,4143250.955,0,176120.2141,200164.4059,315672.5627,20927649.76,25874012.34,26067919.56
 01/03  15:00:00,56224880.12,6738836.284,4193287.34,0,185228.6189,4054.692903,313592.3725,16483175.99,25299034.29,19440269.53
 01/03  16:00:00,57293378.92,7264541.597,4520429.991,0,205657.2391,0,314008.6236,15408759.89,26448990.39,18522991.83
 01/03  17:00:00,66707610.39,8764199.648,5453608.573,797915.5777,224975.8661,0,314515.2385,20323745.36,27598946.49,23221412.93
 01/03  18:00:00,89272297.62,11596225.04,7215842.403,4222960.271,5136934.576,375265.6425,500975.7929,27012446.17,29898858.7,29918687.23
 01/03  19:00:00,91652512.94,14507388.88,9027397.812,5283129.898,4755583.099,559148.5003,488756.1774,23162127.08,30473836.75,25966467.03
 01/03  20:00:00,129262147.8,15124913.11,9411605.769,5508000,4232991.738,0,463056.0903,16640807.53,28748902.6,19419623.17
 01/03  21:00:00,72821124.27,12856328.92,7999984.038,4681878.385,3627322.563,0,363879.1347,13884928.98,27023968.44,16693457.6
 01/03  22:00:00,64695000.72,9736013.51,6058334.027,3545547.493,3248125.06,0,426808.4449,12915075.59,25874012.34,15795792.33
 01/03  23:00:00,55936405.83,8377215.761,5212719.119,3050695.726,2300076.716,0,392519.4493,10593182.57,22999122.08,13023623.6
 01/03  24:00:00,41479160.81,3762436.718,2341226.286,1370171.315,1402862.266,0,282492.7828,7483162.312,20699209.87,9025814.081
 01/04  01:00:00,33256135.62,1868155.934,1162512.014,680348.5344,923314.0987,0,341667.9167,5344385.271,20124231.82,6279622.928
 01/04  02:00:00,29890364.22,1120924.116,697531.0351,408209.1206,595380.7114,0,329558.5913,4799632.501,18974275.71,5552207.442
 01/04  03:00:00,27869509.53,747231.8182,464980.9787,272139.4137,421631.3033,0,323148.1899,4150317.026,18399297.66,4805179.532
 01/04  04:00:00,26950177.34,747231.8182,464980.9787,272139.4137,305280.6666,0,318856.5705,3835239.098,17824319.61,4392389.168
 01/04  05:00:00,28176552.29,830800.7825,517042.646,302557.7874,232747.8076,0,316180.5553,4313748.4,18399297.66,4943086.592
 01/04  06:00:00,63946776.25,2279736.903,1418531.518,830183.0742,181972.2258,4638816.407,259852.0193,4989073.303,18974275.71,5703361.775
 01/04  07:00:00,48251188.83,5352080.363,3330397.965,1949040.689,335636.2408,4042212.149,373391.6653,7868028.899,21274187.92,9032593.081
 01/04  08:00:00,54253073.04,6772905.533,4214493.236,0,512055.9707,3696277.815,375335.8285,11770246.57,24149078.18,13639937.3
 01/04  09:00:00,56283284.95,7197625.315,4478852.138,0,548247.5141,1961927,352824.3255,14138698.45,24724056.23,16700753.57
 01/04  10:00:00,69813593.03,7398679.716,4603943.1,0,101169.2233,1474283.293,329500.7354,21417656.72,24724056.23,26680097.46
 01/04  11:00:00,63121124.56,7197472.538,4478733.003,0,122370.3947,1139455.794,325060.162,17052767.93,24724056.23,20876315.09
 01/04  12:00:00,123394426.6,6918807.473,4305273.535,0,152989.83,763822.9372,244437.652,18288580.32,25299034.29,22239552.89
 01/04  13:00:00,59305762.3,6717600.295,4180063.438,0,180832.7346,896249.6621,323576.1605,18435412.15,25874012.34,22114583.06
 01/04  14:00:00,82407412.98,6658475.635,4143250.955,0,216606.7392,227787.901,317261.2925,30735079.34,25874012.34,42532409.78
 01/04  15:00:00,121763699.8,6738836.284,4193287.34,0,275760.9223,4216.138819,278226.7391,45771783.83,25299034.29,65930126.96
 01/04  16:00:00,57090837.41,7264541.597,4520429.991,0,300968.1807,0,316959.1988,15408759.89,26448990.39,18522991.83
 01/04  17:00:00,66533866.16,8764199.648,5453608.573,797915.5777,328347.2173,0,317751.8435,20323745.36,27598946.49,23221412.93
 01/04  18:00:00,92638359.86,11596225.04,7215842.403,4222960.271,7209439.28,254914.1514,575811.6362,27012446.17,29898858.7,29918687.23
 01/04  19:00:00,92583816,14507388.88,9027397.812,5283129.898,6078049.418,410392.6972,535633.5589,23162127.08,30473836.75,25966467.03
 01/04  20:00:00,84319990.91,15124913.11,9411605.769,5508000,5375049.416,0,505025.5163,16640807.53,28748902.6,19419623.17
 01/04  21:00:00,74520803.69,12856328.92,7999984.038,4681878.385,4552713.071,0,474765.7935,13884928.98,27023968.44,16693457.6
 01/04  22:00:00,65654484.56,9736013.51,6058334.027,3545547.493,3993783.122,0,454192.8233,12915075.59,25874012.34,15795792.33
 01/04  23:00:00,56806853.31,8377215.761,5212719.119,3050695.726,2953881.326,0,416612.214,10593182.57,22999122.08,13023623.6
 01/04  24:00:00,41218914.92,3762436.718,2341226.286,1370171.315,1874432.916,0,376778.0041,7483162.312,20699209.87,9025814.081
 01/05  01:00:00,34113428.62,1868155.934,1162512.014,680348.5344,1174977.278,0,350959.8367,5344385.271,20124231.82,6279622.928
 01/05  02:00:00,30634096.83,1120924.116,697531.0351,408209.1206,799096.4876,0,337078.5156,4799632.501,18974275.71,5552207.442
 01/05  03:00:00,28493568.89,747231.8182,464980.9787,272139.4137,546797.1753,0,327767.2551,4150317.026,18399297.66,4805179.532
 01/05  04:00:00,27549976.33,747231.8182,464980.9787,272139.4137,408722.7291,0,322674.9564,3835239.098,17824319.61,4392389.168
 01/05  05:00:00,28773527.5,830800.7825,517042.646,302557.7874,323930.9081,0,319547.3532,4313748.4,18399297.66,4943086.592
 01/05  06:00:00,108421203,2279736.903,1418531.518,830183.0742,285948.7156,4361285.373,245890.0267,4989073.303,18974275.71,5703361.775
 01/05  07:00:00,46850655.63,5352080.363,3330397.965,1949040.689,473746.7477,3550023.029,369541.9926,7868028.899,21274187.92,9032593.081
 01/05  08:00:00,66415428.75,6772905.533,4214493.236,0,623441.4214,3084141.3,369174.432,11770246.57,24149078.18,13639937.3
 01/05  09:00:00,63935289.08,7197625.315,4478852.138,0,469834.045,1538921.007,343705.9324,14138698.45,24724056.23,16700753.57
 01/05  10:00:00,149343566.7,7398679.716,4603943.1,0,61460.74605,1253748.071,324591.4929,16658271.9,24724056.23,20069829.82
 01/05  11:00:00,74688860.42,7197472.538,4478733.003,0,74104.75073,815585.5056,242371.1024,17052767.93,24724056.23,20876315.09
 01/05  12:00:00,62856397.38,6918807.473,4305273.535,0,115632.8611,568339.1619,317667.6902,18288580.32,25299034.29,22239552.89
 01/05  13:00:00,59194595.44,6717600.295,4180063.438,0,155683.8091,751066.4596,320856.2648,18435412.15,25874012.34,22114583.06
 01/05  14:00:00,60058690.07,6658475.635,4143250.955,0,180571.3968,147635.8326,315131.934,16406012.53,25874012.34,19787857.47
 01/05  15:00:00,65110823.15,6738836.284,4193287.34,0,207361.6067,0,314326.4039,16483175.99,25299034.29,19440269.53
 01/05  16:00:00,57286274.14,7264541.597,4520429.991,0,366486.5287,0,318676.9406,15408759.89,26448990.39,18522991.83
 01/05  17:00:00,66716957.59,8764199.648,5453608.573,797915.5777,388174.5624,0,319490.9169,20323745.36,27598946.49,23221412.93
 01/05  18:00:00,91292444.72,11596225.04,7215842.403,4222960.271,7489646.357,123007.6948,584566.7394,27012446.17,29898858.7,29918687.23
 01/05  19:00:00,92824355.84,14507388.88,9027397.812,5283129.898,6436566.358,279884.8063,547132.8368,23162127.08,30473836.75,25966467.03
 01/05  20:00:00,85172124.17,15124913.11,9411605.769,5508000,6024289.021,0,528949.8461,16640807.53,28748902.6,19419623.17
 01/05  21:00:00,75541549.58,12856328.92,7999984.038,4681878.385,5299360.059,0,502265.6298,13884928.98,27023968.44,16693457.6
 01/05  22:00:00,66861790.96,9736013.51,6058334.027,3545547.493,4856749.965,0,485972.2008,12915075.59,25874012.34,15795792.33
 01/05  23:00:00,58071949.36,8377215.761,5212719.119,3050695.726,3902469.963,0,451622.7397,10593182.57,22999122.08,13023623.6
 01/05  24:00:00,42601445.29,3762436.718,2341226.286,1370171.315,2955224.876,0,416646.7482,7483162.312,20699209.87,9025814.081
 01/06  01:00:00,35312672.26,1868155.934,1162512.014,680348.5344,2161210.525,0,387346.7455,5344385.271,20124231.82,6279622.928
 01/06  02:00:00,31384982.35,1120924.116,697531.0351,408209.1206,1453141.037,0,361228.4033,4799632.501,18974275.71,5552207.442
 01/06  03:00:00,78095708.18,747231.8182,464980.9787,272139.4137,1016007.661,0,268203.1829,4150317.026,18399297.66,4805179.532
 01/06  04:00:00,27000960.39,747231.8182,464980.9787,272139.4137,783853.5001,0,336528.0529,3835239.098,17824319.61,4392389.168
 01/06  05:00:00,28179670.4,830800.7825,517042.646,302557.7874,630930.8425,0,330881.0846,4313748.4,18399297.66,4943086.592
 01/06  06:00:00,40151252.08,2279736.903,1418531.518,830183.0742,552605.6725,3788036.682,374746.5135,4989073.303,18974275.71,5703361.775
 01/06  07:00:00,46958038.49,5352080.363,3330397.965,1949040.689,811640.5084,3032579.451,374122.202,7868028.899,21274187.92,9032593.081
 01/06  08:00:00,54018424.63,6772905.533,4214493.236,0,985856.3315,2672581.436,376099.9157,11770246.57,24149078.18,13639937.3
 01/06  09:00:00,60216113.66,7197625.315,4478852.138,0,910578.1828,1248842.634,355625.1578,14138698.45,24724056.23,16700753.57
 01/06  10:00:00,60886812.61,7398679.716,4603943.1,0,120255.4917,856832.9456,321450.2831,16658271.9,24724056.23,20069829.82
 01/06  11:00:00,64218494.29,7197472.538,4478733.003,0,146593.599,572787.0019,318829.5434,17052767.93,24724056.23,20876315.09
 01/06  12:00:00,75299120.43,6918807.473,4305273.535,0,148825.2862,374514.0135,239686.1675,18288580.32,25299034.29,22239552.89
 01/06  13:00:00,59069894.59,6717600.295,4180063.438,0,140013.2777,664910.5143,319330.8735,18435412.15,25874012.34,22114583.06
 01/06  14:00:00,56681115.18,6658475.635,4143250.955,0,133068.9376,279336.4661,314975.2208,16406012.53,25874012.34,19787857.47
 01/06  15:00:00,61591507.07,6738836.284,4193287.34,0,146833.1717,250098.9138,314965.7726,16483175.99,25299034.29,19440269.53
 01/06  16:00:00,57000682.76,7264541.597,4520429.991,0,169608.1194,71608.79651,313650.2799,15408759.89,26448990.39,18522991.83
 01/06  17:00:00,66488617.78,8764199.648,5453608.573,797915.5777,196354.6768,84590.94657,314573.7518,20323745.36,27598946.49,23221412.93
 01/06  18:00:00,90385213.17,11596225.04,7215842.403,4222960.271,6304736.946,511072.9121,545331.7289,27012446.17,29898858.7,29918687.23
 01/06  19:00:00,92314857.67,14507388.88,9027397.812,5283129.898,5525844.316,649778.6751,517887.3543,23162127.08,30473836.75,25966467.03
 01/06  20:00:00,83871360.83,15124913.11,9411605.769,5508000,5165910.278,0,497536.2747,16640807.53,28748902.6,19419623.17
 01/06  21:00:00,119287080.1,12856328.92,7999984.038,4681878.385,4663610.924,0,402146.2693,13884928.98,27023968.44,16693457.6
 01/06  22:00:00,122141854.5,9736013.51,6058334.027,3545547.493,4438767.25,0,393859.902,12915075.59,25874012.34,15795792.33
 01/06  23:00:00,58081239.36,8377215.761,5212719.119,3050695.726,3637506.577,0,441923.886,10593182.57,22999122.08,13023623.6
 01/06  24:00:00,42713844.61,3762436.718,2341226.286,1370171.315,2772901.639,0,409990.7325,7483162.312,20699209.87,9025814.081
 01/07  01:00:00,34906218.31,1868155.934,1162512.014,680348.5344,2165520.675,0,387548.1924,5600936.956,20124231.82,6631065.883
 01/07  02:00:00,31271937.95,1120924.116,697531.0351,408209.1206,1710203.023,0,370732.7209,4953563.512,18974275.71,5763073.215
 01/07  03:00:00,28961287.09,747231.8182,464980.9787,272139.4137,1327484.184,0,356605.6689,4252937.7,18399297.66,4945756.714
 01/07  04:00:00,27866179.42,747231.8182,464980.9787,272139.4137,1099740.012,0,348193.8172,3886549.435,17824319.61,4462677.759
 01/07  05:00:00,29052045.92,830800.7825,517042.646,302557.7874,938095.2496,0,342221.1502,4416369.074,18399297.66,5083663.774
 01/07  06:00:00,33203537.92,2279736.903,1418531.518,830183.0742,829971.7384,0,338226.5457,5143004.314,18974275.71,5914227.548
 01/07  07:00:00,48931207.89,5352080.363,3330397.965,1949040.689,1152828.141,3722262.771,394599.8834,8278511.595,21274187.92,9594901.809
 01/07  08:00:00,66639884.89,6772905.533,4214493.236,0,1738440.279,2799693.142,405518.6209,12591211.96,24149078.18,14764554.75
 01/07  09:00:00,152381463.1,7197625.315,4478852.138,0,2033782.18,2437502.025,258015.2507,15370146.54,24724056.23,18387679.76
 01/07  10:00:00,62436877.1,7398679.716,4603943.1,0,2172247.784,2112075.835,411958.743,18402823.36,24724056.23,22459641.91
 01/07  11:00:00,62479812.39,7197472.538,4478733.003,0,2189148.559,1702220.001,406887.3828,19053871.08,24724056.23,23617570.14
 01/07  12:00:00,64005099.97,6918807.473,4305273.535,0,2519796.199,1336282.83,414255.9184,20366648.97,25299034.29,25086240.83
 01/07  13:00:00,69269736.3,6717600.295,4180063.438,0,3131799.597,1019233.378,433051.4263,20333894.62,25874012.34,24715260.93
 01/07  14:00:00,64714743.17,6658475.635,4143250.955,0,4081123.189,644804.7437,464005.1518,18124908.83,25874012.34,22142525.26
 01/07  15:00:00,63832929.14,6738836.284,4193287.34,0,5926712.522,249713.7692,528077.1029,17945520.6,25299034.29,21443494.37
