Date/Time,Misc_Loads:InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly) ,DHW:NaturalGas [J](Hourly) 
 02/11  16:00:00,26639728.3,81166343.29,18344809.79,5722056.565,2498728.352,425106.5302,6765738.902,112997.4494,20657176.71,20657176.71
 02/11  17:00:00,27797977.36,91987754.38,22132002.26,6903345.977,2845264.53,615951.4307,6434906.191,114277.6821,25144028.34,25144028.34
 02/11  18:00:00,30114475.47,108463743.8,29283350.55,9133972.506,3622555.945,702668.7334,3722281.686,79218.3523,31805220.09,31805220.09
 02/11  19:00:00,30693600,115233213.2,36634904.16,11427046.47,4687055.576,935826.5903,3032893.747,74788.79139,27747097.87,27747097.87
 02/11  20:00:00,28956226.42,109634145.8,38194225.01,11913425.02,5369331.349,905202.6652,3021238.334,73773.64815,21200723.14,21200723.14
 02/11  21:00:00,27218852.83,97701353.76,32465634.81,10126580.81,5085296.064,782760.8819,3435420.195,76871.16965,18509936.44,18509936.44
 02/11  22:00:00,26060603.77,84178997.09,24585954.75,7668775.278,4089467.377,760020.1595,3258221.484,73159.95192,17682794.32,17682794.32
 02/11  23:00:00,23164981.13,72962547.39,21154495.1,6598444.953,3606194.078,587518.6914,3224101.442,67160.14787,14559651.76,14559651.76
 02/11  24:00:00,20848483.02,44850181.52,9501203.977,2963586.28,1370171.315,298452.8463,0,8623.999385,9859660.028,9859660.028
 02/12  01:00:00,20269358.49,38357490.46,4717753.269,1471547.069,680348.5344,169500.1834,4354879.754,72419.85948,6621683.303,6621683.303
 02/12  02:00:00,19111109.43,32840176.81,2830651.962,882928.2412,408209.1206,121647.2763,3671531.464,60174.11616,5753925.2,5753925.2
 02/12  03:00:00,18531984.91,30111665.79,1887101.308,588618.8275,272139.4137,92223.91385,3742546.15,60208.00367,4936843.263,4936843.263
